Days,Casualties
0,61
157,35
123,52
2,13
124,12
12,22
4,65
10,36
216,10
80,10
12,58
33,11
66,20
232,89
826,12
40,11
12,114
29,11
190,189
97,13
65,40
186,53
23,19
92,12
197,25
431,13
16,76
154,13
95,12
25,142
19,22
78,13
202,10
36,13
110,47
276,16
16,59
88,26
225,39
53,13
17,15
538,26
187,34
34,30
101,12
41,38
139,24
42,361
1,91
250,14
80,178
3,12
324,10
56,62
31,26
96,37
70,53
41,59
93,11
24,27
91,30
143,19
16,19
27,20
144,26
45,38
6,19
208,70
29,26
112,11
43,27
193,34
134,18
420,54
95,15
125,23
34,17
127,43
218,23
2,143
0,16
378,23
36,18
15,10
31,18
215,36
11,207
137,17
4,43
15,23
72,189
96,268
124,63
50,21
120,28
203,62
176,120
55,164
93,101
59,25
315,48
59,74
61,37
1,13
13,32
189,45
345,20
20,68
81,14
286,14
114,42
108,178
188,81
233,38
28,10
22,22
61,28
78,39
99,73
326,30
275,23
54,20
217,64
113,176
32,87
288,10
151,10
361,112
312,139
354,290
307,13
275,57
78,20
17,63
1205,19
644,81
467,16
871,11
48,33
123,119
456,25
498,14
49,10
131,75
182,168
255,27
194,136
224,344
566,88
462,439
228,12
806,13
517,155
